order_id,customer_id,product_id,quantity,order_date,status,discount_pct,shipping_cost
1,1451,304,1,2023-09-13,completed,20,8.45
2,642,262,3,2024-01-29,completed,0,9.35
3,1084,252,1,2023-09-30,completed,0,6.74
4,1621,395,1,2023-05-27,completed,10,12.72
5,971,127,1,2023-01-04,returned,10,5.34
6,989,288,1,2023-10-07,shipped,10,7.27
7,1239,453,1,2024-10-23,returned,0,14.37
8,1240,62,1,2023-03-04,cancelled,0,7.85
9,579,128,2,2024-03-09,completed,0,4.47
10,296,152,1,2024-10-29,processing,15,1.18
11,1589,466,5,2024-04-02,returned,15,8.33
12,910,389,1,2023-10-08,returned,20,4.14
13,929,146,1,2023-05-12,completed,10,14.34
14,108,445,1,2024-05-03,shipped,10,2.13
15,1127,14,1,2024-10-23,shipped,10,5.93
16,1256,429,2,2024-10-21,returned,5,4.86
17,81,453,1,2024-12-31,completed,0,7.45
18,287,78,1,2023-06-17,shipped,0,1.38
19,1992,183,1,2024-02-27,processing,10,11.26
20,821,280,1,2024-03-02,cancelled,15,10.42
21,1686,46,2,2024-04-04,completed,0,1.73
22,466,123,1,2024-11-30,completed,25,0.36
23,981,22,1,2023-08-27,completed,0,14.32
24,1026,164,1,2024-10-11,completed,15,0.29
25,1009,13,1,2024-12-14,completed,15,8.25
26,410,302,1,2023-08-24,completed,20,0.11
27,1192,452,1,2023-06-18,cancelled,15,3.19
28,16,469,1,2024-09-29,shipped,5,3.98
29,1047,199,1,2023-07-26,shipped,5,5.02
30,1839,134,1,2024-10-28,processing,5,6.77
31,1236,496,1,2024-06-08,completed,15,3.07
32,86,199,2,2023-07-30,completed,0,11.4
33,1706,354,1,2024-08-30,completed,5,5.41
34,1327,321,1,2023-09-16,completed,0,7.67
35,26,111,2,2023-12-08,shipped,0,7.49
36,1475,168,1,2024-02-05,processing,0,13.81
37,1149,306,1,2024-11-14,completed,0,1.17
38,1812,1,2,2024-09-26,completed,0,12.86
39,1905,1,1,2024-01-26,shipped,0,1.46
40,441,331,1,2024-03-09,shipped,10,1.14
41,1339,12,1,2023-02-05,completed,0,4.53
42,936,477,4,2023-07-29,completed,0,13.79
43,1803,477,4,2023-06-28,completed,0,1.69
44,933,446,3,2024-12-12,completed,25,4.1
45,1440,289,1,2024-12-09,shipped,0,3.23
46,1389,194,1,2024-05-24,shipped,15,12.46
47,359,499,1,2023-02-15,completed,0,14.39
48,1454,145,2,2023-07-27,completed,5,0.37
49,1973,447,1,2024-12-07,completed,20,12.16
50,1789,289,2,2024-03-21,processing,25,14.28
51,1622,119,2,2023-02-18,returned,5,5.46
52,753,234,2,2024-07-11,shipped,0,5.6
53,1488,283,1,2023-11-25,returned,10,6.11
54,823,191,1,2023-12-22,processing,5,2.21
55,1384,278,1,2024-03-18,completed,0,9.03
56,682,474,1,2024-04-22,completed,20,11.31
57,1823,22,1,2024-10-02,cancelled,0,8.98
58,1296,426,2,2024-08-10,completed,0,14.66
59,1689,355,1,2024-03-05,cancelled,0,14.86
60,86,267,1,2023-01-05,completed,5,14.02
61,1515,117,1,2023-12-09,shipped,20,1.75
62,1124,480,1,2024-11-03,shipped,15,3.29
63,1536,209,1,2023-04-19,processing,0,9.61
64,319,428,1,2023-07-12,cancelled,0,13.4
65,1639,56,1,2023-03-15,shipped,5,3.63
66,621,423,1,2024-10-15,completed,0,14.27
67,49,9,1,2023-05-04,completed,0,2.79
68,138,130,1,2023-05-02,shipped,15,14.17
69,22,358,1,2023-12-18,completed,15,5.62
70,878,318,1,2024-05-04,completed,0,10.19
71,1024,164,1,2023-09-19,shipped,20,12.92
72,1542,276,2,2024-03-08,processing,10,14.24
73,56,195,1,2024-05-14,cancelled,0,7.12
74,189,43,1,2024-10-08,shipped,0,6.82
75,495,310,5,2023-02-05,processing,10,4.65
76,444,315,1,2023-01-11,completed,0,8.9
77,1916,260,1,2024-05-29,returned,0,6.95
78,795,411,3,2024-10-31,completed,0,3.8
79,1430,265,1,2024-04-07,completed,5,12.8
80,595,308,1,2023-04-23,completed,0,14.53
81,408,247,1,2023-01-06,completed,15,11.64
82,1583,193,1,2023-07-07,returned,0,5.1
83,1732,253,1,2024-03-31,completed,0,1.52
84,271,380,5,2024-09-11,shipped,0,6.57
85,1627,358,1,2024-12-26,shipped,25,13.47
86,1301,279,1,2024-04-30,cancelled,0,4.18
87,1438,217,1,2023-03-31,shipped,5,13.17
88,973,206,1,2023-09-07,completed,0,1.82
89,177,293,1,2023-07-21,cancelled,20,9.9
90,765,286,1,2023-03-10,completed,0,8.73
91,1147,21,1,2023-05-31,shipped,5,2.0
92,23,191,1,2023-01-13,completed,0,7.87
93,1200,272,1,2023-05-21,processing,10,13.81
94,1641,110,1,2024-05-01,completed,20,7.18
95,354,199,1,2024-10-04,completed,25,12.88
96,300,342,1,2024-06-06,completed,0,12.92
97,979,263,5,2023-03-16,shipped,0,3.71
98,1720,321,1,2023-08-19,shipped,5,6.1
99,88,446,1,2024-02-09,shipped,0,2.89
100,801,231,1,2023-08-19,cancelled,0,7.19
101,1821,209,1,2024-10-12,cancelled,0,3.62
102,590,255,2,2024-03-19,cancelled,0,6.26
103,174,361,3,2023-05-30,shipped,0,5.54
104,576,238,1,2023-12-16,returned,5,12.54
105,670,471,1,2024-04-26,returned,25,7.32
106,1424,287,3,2024-09-11,completed,0,7.04
107,1417,251,5,2024-06-29,completed,25,9.25
108,516,323,1,2023-10-05,completed,5,8.92
109,642,475,3,2023-09-03,completed,0,5.23
110,393,423,1,2024-11-23,returned,15,4.18
111,869,343,1,2024-09-19,completed,0,12.03
112,390,352,1,2024-12-30,completed,25,8.29
113,1635,237,1,2023-06-27,completed,0,10.87
114,1308,127,1,2024-10-10,processing,10,2.75
115,768,126,1,2023-10-05,completed,20,8.06
116,522,311,1,2023-05-08,shipped,15,12.2
117,7,35,1,2023-09-18,cancelled,20,6.82
118,1196,421,1,2024-08-04,completed,15,2.99
119,876,322,5,2024-09-01,shipped,0,7.15
120,642,62,1,2023-05-06,completed,10,11.4
121,85,434,1,2023-04-21,completed,25,8.03
122,1606,50,3,2024-12-04,returned,15,3.07
123,123,6,1,2024-10-01,completed,5,4.26
124,473,113,1,2024-08-07,shipped,5,13.92
125,1722,122,1,2024-07-20,completed,10,11.44
126,1651,495,2,2023-07-28,completed,25,9.24
127,187,293,2,2023-10-04,completed,20,1.87
128,1732,209,1,2024-04-15,completed,0,13.38
129,573,55,1,2024-11-18,returned,5,6.53
130,1740,198,1,2023-08-26,shipped,0,12.71
131,1460,228,1,2024-01-29,completed,15,0.35
132,421,452,1,2024-03-23,completed,25,5.13
133,1023,260,1,2024-03-28,completed,0,5.59
134,1231,429,1,2024-01-22,completed,0,11.82
135,447,161,1,2023-10-08,completed,0,10.72
136,778,308,2,2023-01-25,completed,0,9.68
137,927,366,2,2024-02-03,completed,10,5.39
138,1006,224,2,2024-03-10,shipped,0,6.56
139,469,138,1,2023-09-24,completed,20,2.37
140,1749,300,1,2024-09-05,completed,25,12.15
141,782,187,1,2023-08-23,completed,0,10.61
142,190,316,1,2023-02-21,completed,5,1.19
143,928,77,1,2024-03-22,completed,5,13.07
144,470,210,1,2024-06-17,completed,0,3.48
145,1272,27,1,2023-06-30,shipped,5,8.22
146,1833,86,1,2023-07-20,completed,0,1.01
147,552,419,2,2024-06-30,cancelled,0,11.69
148,1559,189,2,2023-06-06,completed,25,13.98
149,1612,5,1,2023-06-25,completed,5,7.7
150,1026,259,3,2024-02-08,processing,0,2.51
151,320,434,1,2024-09-15,completed,10,8.61
152,948,126,1,2024-12-28,completed,0,10.7
153,1311,311,2,2023-03-10,completed,15,2.04
154,944,271,2,2024-11-24,shipped,15,8.25
155,1821,269,1,2024-10-24,returned,25,5.31
156,1183,368,2,2024-02-19,shipped,5,7.85
157,342,258,2,2023-05-10,returned,0,3.1
158,753,432,1,2024-09-10,completed,15,5.74
159,766,13,1,2023-07-23,completed,0,3.23
160,922,443,1,2023-05-24,completed,5,5.95
161,34,462,1,2024-03-25,processing,5,7.3
162,1460,239,1,2023-07-29,completed,20,1.96
163,503,486,1,2024-10-17,completed,0,4.43
164,718,239,3,2024-10-31,completed,15,1.17
165,727,421,1,2024-05-03,processing,0,14.01
166,139,181,1,2023-11-14,completed,25,2.49
167,299,382,2,2023-10-04,completed,0,0.37
168,1292,267,1,2024-04-04,returned,15,5.01
169,943,178,1,2023-10-19,cancelled,10,0.76
170,1200,64,3,2024-05-14,completed,15,11.45
171,1365,400,1,2024-08-02,completed,25,1.01
172,1911,423,1,2024-11-07,completed,20,10.97
173,295,73,2,2023-07-21,completed,0,9.25
174,808,113,1,2023-11-07,completed,0,14.3
175,857,292,1,2023-06-05,completed,15,8.21
176,1877,108,1,2023-03-09,completed,0,12.88
177,1490,248,2,2023-08-13,completed,20,13.73
178,1895,345,1,2023-03-23,shipped,20,12.18
179,1264,373,5,2024-04-25,cancelled,5,8.66
180,1822,462,2,2023-12-05,returned,10,7.9
181,1066,350,1,2024-08-31,completed,0,3.39
182,889,248,1,2024-06-05,shipped,5,7.48
183,106,488,1,2023-09-21,cancelled,0,12.36
184,458,433,2,2023-09-12,completed,20,13.58
185,1429,278,1,2024-02-27,shipped,15,6.29
186,613,42,1,2024-09-30,completed,20,14.23
187,1588,161,3,2023-02-28,shipped,15,6.09
188,316,213,1,2023-02-01,completed,10,14.06
189,631,121,1,2024-05-18,shipped,15,8.83
190,881,435,1,2023-09-07,returned,0,5.04
191,670,304,1,2023-03-26,completed,0,1.23
192,308,277,1,2023-04-05,completed,0,14.88
193,966,91,1,2023-10-26,shipped,10,10.18
194,1365,293,1,2023-06-19,completed,5,4.95
195,1194,43,5,2024-09-21,completed,0,12.32
196,1617,88,3,2024-05-17,completed,0,4.01
197,1261,429,1,2024-09-19,processing,5,2.08
198,1242,437,1,2024-10-20,returned,25,1.44
199,459,353,1,2024-02-07,processing,10,9.98
200,1660,232,1,2024-06-05,shipped,5,4.4
201,857,414,4,2023-11-13,processing,10,3.16
202,305,361,1,2023-03-23,completed,0,8.82
203,303,56,5,2023-05-10,completed,0,10.84
204,1578,171,1,2024-08-16,shipped,0,10.78
205,840,63,3,2024-11-15,completed,25,10.94
206,1920,364,1,2024-04-29,shipped,0,5.46
207,393,177,1,2023-02-02,processing,5,5.84
208,950,338,4,2024-12-27,shipped,10,6.74
209,1527,495,2,2024-11-05,returned,10,14.37
210,1778,359,1,2023-06-18,processing,5,6.24
211,1794,172,1,2023-05-24,processing,0,7.69
212,1961,143,3,2023-07-04,completed,15,0.58
213,1294,185,2,2024-09-21,completed,10,5.06
214,989,396,2,2024-05-28,shipped,0,3.17
215,1394,338,2,2024-06-01,cancelled,5,7.96
216,1210,314,3,2023-07-21,completed,15,11.55
217,932,494,2,2024-07-14,processing,5,8.08
218,92,146,1,2024-02-22,shipped,0,7.12
219,1903,238,3,2024-09-15,returned,0,13.85
220,457,231,1,2024-10-29,returned,0,12.25
221,521,203,1,2024-06-27,processing,0,0.61
222,490,204,1,2023-02-18,completed,0,12.04
223,1097,417,3,2024-03-02,completed,0,7.53
224,1575,308,1,2024-05-23,cancelled,0,8.01
225,589,400,1,2023-08-29,shipped,15,8.41
226,363,280,1,2023-01-15,completed,15,1.2
227,1939,246,1,2023-05-13,completed,5,2.54
228,1376,132,1,2024-03-12,shipped,0,10.94
229,200,392,4,2023-11-13,completed,25,10.37
230,157,80,2,2023-01-04,completed,0,0.99
231,1977,92,1,2024-04-07,cancelled,10,1.82
232,953,262,1,2024-11-15,shipped,5,11.78
233,1616,48,1,2024-02-02,completed,0,8.18
234,1486,10,3,2024-09-27,completed,0,14.88
235,299,176,1,2024-12-07,shipped,25,2.91
236,62,175,2,2024-03-18,shipped,0,12.11
237,435,86,1,2024-10-14,completed,20,11.6
238,2000,382,1,2024-11-03,processing,20,8.36
239,794,165,1,2023-07-23,completed,0,0.55
240,8,293,1,2024-11-11,shipped,10,9.73
241,1536,429,1,2023-11-19,completed,20,1.28
242,1218,267,1,2023-04-30,cancelled,0,7.1
243,1130,372,2,2023-05-03,shipped,0,11.79
244,504,160,1,2024-03-11,completed,5,0.58
245,113,481,1,2023-05-21,completed,5,12.24
246,575,175,2,2023-03-18,processing,25,5.46
247,632,379,1,2023-01-24,shipped,0,14.72
248,379,365,1,2023-05-21,completed,25,9.04
249,743,59,1,2023-09-28,completed,10,4.77
